FHHRate,PctWhite,RenterRate,CarlessRate,PovertyRate,Income,Ride2Drive,NEAR_DIST,Emp_60min
16.46115095,12.5,46.72377339,0.671736271,3.336681682,37976.72859,7.17998229,79.71633455,8
18.41706365,0,43.76481834,15.81373145,21.67617804,49453.75139,8.237543151,84.71978736,1
0.334453025,88.9000015,22.75441804,5.336651363,3.160222657,64850.60798,7.038970832,142.9439912,8
7.775224776,89.0999985,40.02076381,9.657124574,0.852610822,81889.82347,7.984605292,349.8134447,13
5.155010685,100,41.82277171,2.026526473,1.247922365,70071.29735,6.583949915,287.4649788,8
20.09774054,0,81.59604149,3.982700573,16.29160606,46765.98834,6.631910753,177.07733,0
2.644320894,100,27.62355308,4.231299223,0.647196975,117201.8458,8.299312182,77.94692991,7
49.71014931,0,47.80072404,29.43440637,29.98121795,15829.88274,9.134719351,139.2341439,9
32.01541514,11.6999998,55.66074033,6.719898584,71.89405117,27720.19614,8.356050421,142.3735157,12
43.39599708,0,49.99922741,10.8461544,22.30128696,24049.18226,9.222297661,129.1605088,5
53.74511572,0,47.4960314,5.696448076,48.44469858,30124.8079,9.868573754,148.1245127,5
20.74388541,20,55.42338775,10.14746031,56.64538104,37024.59567,5.899508666,78.41539084,2
14.43601382,10.5,51.06270695,9.92628765,47.64978005,24428.54363,7.224879416,120.9675344,3
14.76545028,0,64.12470432,15.07219019,14.14996511,15657.53052,7.45823474,80.22445495,3
35.05798775,0,62.70403814,36.24799051,15.59581841,32047.97577,7.600885305,76.87488811,4
54.33466148,0,47.87340415,34.22709268,44.13904499,27525.05423,8.91379818,155.936148,4
30.41748317,0,53.50783716,32.28389283,3.160365544,26649.54829,9.470612334,55.45371173,4
7.688305044,30.7000008,2.77904301,13.7613994,3.78556583,52302.61136,8.228123106,1603.727817,4
13.90780203,16.8999996,8.434782256,3.08465591,12.97209335,60373.77795,7.907708029,1044.560579,1
4.608588995,13.6999998,3.343302444,10.55976919,19.80613745,56487.53131,8.292610892,1013.88428,1
